tree,MPD,n_leaves
FAM000723.nw,0.01919434204694168,38
FAM017514.nw,0.9197152146,5
FAM010590.nw,0.21171483757575757,33
FAM022798.nw,0.1200754638095238,7
FAM015983.nw,0.7679154200712643,30
FAM019208.nw,0.7611751903076923,14
FAM009415.nw,0.045837787428571426,7
FAM016946.nw,0.6110761467555557,10
FAM018773.nw,0.2620629995111111,10
FAM013395.nw,0.036227437655913984,31
FAM001908.nw,0.4525225895238095,7
FAM017010.nw,0.11028591933990148,29
FAM016332.nw,0.12987414002,25
FAM011882.nw,0.46651079817496444,38
FAM020237.nw,0.7157670313835979,28
FAM021226.nw,1.0272197024,5
FAM005392.nw,0.17599466986813186,14
FAM016386.nw,0.34415391048,25
FAM020462.nw,1.727051879,5
FAM016902.nw,0.05774295348333334,16
FAM022779.nw,0.2297895902,5
FAM021230.nw,0.8241563532564101,13
FAM023617.nw,0.4980546764,6
FAM017966.nw,0.42956499260000003,5
FAM020601.nw,0.4097207407142858,8
FAM002516.nw,0.7731303992249999,16
FAM018374.nw,0.0034084430151515156,12
FAM012668.nw,0.12209788561904762,7
FAM017357.nw,0.26197294829239764,19
